codigo_no_vigente,descripcion_no_vigente,accion,codigo_reemplazo,descripcion_reemplazo
509200,ASISTENCIA HEPATICA EXTRACORPOREA SOD,REEMPLAZA A,509201,ASISTENCIA HEPATICA EXTRACORPOREA
509300,PERFUSION LOCALIZADA DE HIGADO SOD,REEMPLAZA A,509301,PERFUSION LOCALIZADA DE HIGADO
509400,INYECCION DE SUSTANCIA TERAPEUTICA EN HIGADO SOD,REEMPLAZA A,509401,INYECCION DE SUSTANCIA TERAPEUTICA EN HIGADO
511000,COLANGIOPANCREATOGRAFIA RETROGRADA ENDOSCOPICA SOD,REEMPLAZA A,511001,COLANGIOPANCREATOGRAFIA RETROGRADA ENDOSCOPICA
511500,MEDICION DE LA PRESION DEL ESFINTER DE ODDI SOD,REEMPLAZA A,511501,MEDICION DE LA PRESION DEL ESFINTER DE ODDI
519100,REPARACION DE LESION DE VESICULA BILIAR SOD,REEMPLAZA A,519101,REPARACION DE LESION DE VESICULA BILIAR
519700,INSERCION DE CATETER BILIAR SOD,REEMPLAZA A,519701,INSERCION DE CATETER BILIAR
544200,ONFALECTOMIA SOD,REEMPLAZA A,544201,ONFALECTOMIA
546200,CIERRE RETARDADO DE HERIDA ABDOMINAL EN FASE DE GRANULACION SOD,REEMPLAZA A,546201,CIERRE RETARDADO DE HERIDA ABDOMINAL EN FASE DE GRANULACION
549300,CREACION DE FISTULA CUTANEOPERITONEAL SOD,REEMPLAZA A,549301,CREACION DE FISTULA CUTANEOPERITONEAL
549600,INYECCION DE AIRE EN CAVIDAD PERITONEAL SOD,REEMPLAZA A,549601,INYECCION DE AIRE EN CAVIDAD PERITONEAL
549700,INYECCION DE SUSTANCIA TERAPEUTICA DE ACCION LOCAL EN CAVIDAD PERITONEAL SOD,REEMPLAZA A,549701,INYECCION DE SUSTANCIA TERAPEUTICA DE ACCION LOCAL EN CAVIDAD PERITONEAL
559300,REEMPLAZO DE CATETER DE NEFROSTOMIA SOD,REEMPLAZA A,559301,REEMPLAZO DE CATETER DE NEFROSTOMIA
559400,REEMPLAZO DE CATETER DE PIELOSTOMIA SOD,REEMPLAZA A,559401,REEMPLAZO DE CATETER DE PIELOSTOMIA
559500,PERFUSION LOCAL DE RIÑON SOD,REEMPLAZA A,559501,PERFUSION LOCAL DE RIÑON
573500,BIOPSIA DE TEJIDO PERIVESICAL SOD,REEMPLAZA A,573501,BIOPSIA DE TEJIDO PERIVESICAL
578600,REPARACION DE EXTROFIA VESICAL SOD,REEMPLAZA A,578601,REPARACION DE EXTROFIA VESICAL
579200,DILATACION DE CUELLO VESICAL SOD,REEMPLAZA A,579201,DILATACION DE CUELLO VESICAL
584200,CIERRE DE URETROSTOMIA SOD,REEMPLAZA A,584201,CIERRE DE URETROSTOMIA
584700,MEATOPLASTIA URETRAL SOD,REEMPLAZA A,584701,MEATOPLASTIA URETRAL
586200,DILATACION DE UNION URETROVESICAL SOD,REEMPLAZA A,586201,DILATACION DE UNION URETROVESICAL
586300,DILATACION DE URETRA POR SONDEO SOD,REEMPLAZA A,586301,DILATACION DE URETRA POR SONDEO
589200,ESCISION DE TEJIDO PERIURETRAL SOD,REEMPLAZA A,589201,ESCISION DE TEJIDO PERIURETRAL
590200,URETEROLISIS CON LIBERACION O REPOSICIONAMIENTO DE URETER SOD,REEMPLAZA A,590201,URETEROLISIS CON LIBERACION O REPOSICIONAMIENTO DE URETER
590400,INCISION Y DRENAJE DE COLECCION PERIRRENAL SOD,REEMPLAZA A,590401,INCISION Y DRENAJE DE COLECCION PERIRRENAL
590500,DRENAJE PERCUTANEO DE COLECCION EN AREA PERIRRENAL SOD,REEMPLAZA A,590501,DRENAJE PERCUTANEO DE COLECCION EN AREA PERIRRENAL
591100,LIBERACION O LISIS DE ADHERENCIAS PERIVESICALES SOD,REEMPLAZA A,591101,LIBERACION O LISIS DE ADHERENCIAS PERIVESICALES
593100,PLICATURA URETRAL SOD,REEMPLAZA A,593101,PLICATURA URETRAL
612100,REPARACION O ESCISION DE HIDROCELE [HIDROCELECTOMIA] DE TUNICA VAGINALIS SOD,REEMPLAZA A,612101,REPARACION O ESCISION DE HIDROCELE [HIDROCELECTOMIA] DE TUNICA VAGINALIS
614100,SUTURA DE LACERACION DE ESCROTO Y TUNICA VAGINALIS SOD,REEMPLAZA A,614101,SUTURA DE LACERACION DE ESCROTO Y TUNICA VAGINALIS
619100,ASPIRACION PERCUTANEA DE TUNICA VAGINAL (HIDROCELE) SOD,REEMPLAZA A,619101,ASPIRACION PERCUTANEA DE TUNICA VAGINAL (HIDROCELE)
620100,DRENAJE POR INCISION EN TESTICULO SOD,REEMPLAZA A,620101,DRENAJE POR INCISION EN TESTICULO
622100,RESECCION DE LESION TESTICULAR SOD,REEMPLAZA A,622101,RESECCION DE LESION TESTICULAR
626100,ORQUIDORRAFIA O SUTURA DE TESTICULO SOD,REEMPLAZA A,626101,ORQUIDORRAFIA O SUTURA DE TESTICULO
627100,IMPLANTE DE PROTESIS TESTICULAR SOD,REEMPLAZA A,627101,IMPLANTE DE PROTESIS TESTICULAR
629300,EXTRACCION DE CUERPO EXTRAÑO DEL TESTICULO SOD,REEMPLAZA A,629301,EXTRACCION DE CUERPO EXTRAÑO DEL TESTICULO
630100,BIOPSIA DE EPIDIDIMO SOD,REEMPLAZA A,630101,BIOPSIA DE EPIDIDIMO
630200,BIOPSIA DE CORDON ESPERMATICO SOD,REEMPLAZA A,630201,BIOPSIA DE CORDON ESPERMATICO
630300,BIOPSIA DE CONDUCTO DEFERENTE SOD,REEMPLAZA A,630301,BIOPSIA DE CONDUCTO DEFERENTE
632100,ESPERMATOCELECTOMIA O RESECCION QUISTE DEL EPIDIDIMO SOD,REEMPLAZA A,632101,ESPERMATOCELECTOMIA O RESECCION QUISTE DEL EPIDIDIMO
633200,RESECCION DE HEMATOCELE DE CORDON ESPERMATICO SOD,REEMPLAZA A,633201,RESECCION DE HEMATOCELE DE CORDON ESPERMATICO
634000,EPIDIDIMECTOMIA SOD,REEMPLAZA A,634001,EPIDIDIMECTOMIA
635100,SUTURA DE LACERACION EN CORDON ESPERMATICO Y EPIDIDIMO SOD,REEMPLAZA A,635101,SUTURA DE LACERACION EN CORDON ESPERMATICO Y EPIDIDIMO
635200,REDUCCION DE TORSION TESTICULAR O CORDON ESPERMATICO SOD,REEMPLAZA A,635201,REDUCCION DE TORSION TESTICULAR O CORDON ESPERMATICO
636100,VASOTOMIA SOD,REEMPLAZA A,636101,VASOTOMIA
637100,LIGADURA O SECCION DE CONDUCTO DEFERENTE SOD,REEMPLAZA A,637101,LIGADURA O SECCION DE CONDUCTO DEFERENTE
637200,LIGADURA DE CORDON ESPERMATICO SOD,REEMPLAZA A,637201,LIGADURA DE CORDON ESPERMATICO
637300,VASECTOMIA SOD,REEMPLAZA A,637301,VASECTOMIA
638100,SUTURA DE LACERACION DE CONDUCTO DEFERENTE Y EPIDIDIMO SOD,REEMPLAZA A,638101,SUTURA DE LACERACION DE CONDUCTO DEFERENTE Y EPIDIDIMO
638300,EPIDIDIMOVASOSTOMIA SOD,REEMPLAZA A,638301,EPIDIDIMOVASOSTOMIA
639600,EXTRACCION DE CUERPO EXTRAÑO DE CORDON ESPERMATICO Y EPIDIDIMO SOD,REEMPLAZA A,639601,EXTRACCION DE CUERPO EXTRAÑO DE CORDON ESPERMATICO Y EPIDIDIMO
640000,CIRCUNCISION SOD,REEMPLAZA A,640001,CIRCUNCISION
641100,BIOPSIA DE PENE SOD,REEMPLAZA A,641101,BIOPSIA DE PENE
642100,FULGURACION O RESECCION DE LESION EN PENE SOD,REEMPLAZA A,642101,FULGURACION O RESECCION DE LESION EN PENE
643100,AMPUTACION PARCIAL DEL PENE O PENECTOMIA PARCIAL SOD,REEMPLAZA A,643101,AMPUTACION PARCIAL DEL PENE O PENECTOMIA PARCIAL
643200,AMPUTACION TOTAL DEL PENE O PENECTOMIA TOTAL SOD,REEMPLAZA A,643201,AMPUTACION TOTAL DEL PENE O PENECTOMIA TOTAL
644100,SUTURA DE LACERACION O HERIDA EN PENE SOD,REEMPLAZA A,644101,SUTURA DE LACERACION O HERIDA EN PENE
644300,CONSTRUCCION (DE NOVO) DE PENE SOD,REEMPLAZA A,644301,CONSTRUCCION (DE NOVO) DE PENE
644400,RECONSTRUCCION PENEANA SOD,REEMPLAZA A,644401,RECONSTRUCCION PENEANA
644500,REIMPLANTE O RECOLOCACION DE PENE SOD,REEMPLAZA A,644501,REIMPLANTE O RECOLOCACION DE PENE
644200,LIBERACION DE CORDEE SOD,REEMPLAZA A,644904,LIBERACION DE CORDEE
649100,CORTE DORSAL O LATERAL EN PREPUCIO SOD,REEMPLAZA A,649101,CORTE DORSAL O LATERAL EN PREPUCIO
649300,SECCION O CORTE DE ADHERENCIAS PENEANAS SOD,REEMPLAZA A,649301,SECCION O CORTE DE ADHERENCIAS PENEANAS
766100,OSTEOPLASTIA CERRADA (OSTEOTOMIA) DE RAMA MANDIBULAR SOD,REEMPLAZA A,766101,OSTEOPLASTIA CERRADA (OSTEOTOMIA) DE RAMA MANDIBULAR
768200,INSERCION DE IMPLANTE SINTETICO EN HUESO FACIAL SOD,REEMPLAZA A,768201,INSERCION DE IMPLANTE SINTETICO EN HUESO FACIAL
768600,INYECCION DE SUSTANCIA TERAPEUTICA EN ARTICULACION TEMPOROMANDIBULAR SOD,REEMPLAZA A,768601,INYECCION DE SUSTANCIA TERAPEUTICA EN ARTICULACION TEMPOROMANDIBULAR
770100,SECUESTRECTOMIA - DRENAJE - DESBRIDAMIENTO O CURETAJE DE ESCAPULA - CLAVICULA O TORAX (COSTILLAS Y ESTERNON) SOD,REEMPLAZA A,770101,SECUESTRECTOMIA - DRENAJE - DESBRIDAMIENTO O CURETAJE DE ESCAPULA - CLAVICULA O TORAX (COSTILLAS Y ESTERNON)
770200,SECUESTRECTOMIA - DRENAJE - DESBRIDAMIENTO DE HUMERO SOD,REEMPLAZA A,770201,SECUESTRECTOMIA - DRENAJE - DESBRIDAMIENTO DE HUMERO
777400,TOMA DE INJERTO OSEO DE CARPO O METACARPO SOD,REEMPLAZA A,777401,TOMA DE INJERTO OSEO DE CARPO O METACARPO
777500,TOMA DE INJERTO OSEO DE FEMUR SOD,REEMPLAZA A,777501,TOMA DE INJERTO OSEO DE FEMUR
777600,TOMA DE INJERTO OSEO DE ROTULA SOD,REEMPLAZA A,777601,TOMA DE INJERTO OSEO DE ROTULA
777700,TOMA DE INJERTO DE TIBIA O PERONE SOD,REEMPLAZA A,777701,TOMA DE INJERTO DE TIBIA O PERONE
777800,TOMA DE INJERTO OSEO DE TARSO O METATARSO SOD,REEMPLAZA A,777801,TOMA DE INJERTO OSEO DE TARSO O METATARSO
778600,RESECCION PARCIAL DE ROTULA O HEMIPATELECTOMIA SOD,REEMPLAZA A,778601,RESECCION PARCIAL DE ROTULA O HEMIPATELECTOMIA
778800,RESECCION PARCIAL DE TARSIANOS O METATARSIANOS (UNO O MAS) SOD,REEMPLAZA A,778801,RESECCION PARCIAL DE TARSIANOS O METATARSIANOS (UNO O MAS)
779500,RESECCION TOTAL DE FEMUR SOD,REEMPLAZA A,779501,RESECCION TOTAL DE FEMUR
779600,RESECCION TOTAL DE ROTULA O PATELECTOMIA SOD,REEMPLAZA A,779601,RESECCION TOTAL DE ROTULA O PATELECTOMIA
780300,INJERTO OSEO EN CUBITO O RADIO SOD,REEMPLAZA A,780301,INJERTO OSEO EN CUBITO O RADIO
780600,INJERTO OSEO EN ROTULA SOD,REEMPLAZA A,780601,INJERTO OSEO EN ROTULA
780800,INJERTO OSEO EN HUESOS TARSIANOS O METATARSIANOS SOD,REEMPLAZA A,780801,INJERTO OSEO EN HUESOS TARSIANOS O METATARSIANOS
785100,FIJACION INTERNA SIN REDUCCION DE FRACTURA EN ESCAPULA - CLAVICULA O TORAX (COSTILLAS Y ESTERNON) SOD,REEMPLAZA A,785101,FIJACION INTERNA SIN REDUCCION DE FRACTURA EN ESCAPULA - CLAVICULA O TORAX (COSTILLAS Y ESTERNON)
785200,FIJACION INTERNA SIN REDUCCION DE FRACTURA DE HUMERO SOD,REEMPLAZA A,785201,FIJACION INTERNA SIN REDUCCION DE FRACTURA DE HUMERO
785300,FIJACION INTERNA SIN REDUCCION DE FRACTURA DE RADIO O CUBITO SOD,REEMPLAZA A,785301,FIJACION INTERNA SIN REDUCCION DE FRACTURA DE RADIO O CUBITO
785400,FIJACION INTERNA SIN REDUCCION DE FRACTURA DE CARPIANOS O METACARPIANOS SOD,REEMPLAZA A,785401,FIJACION INTERNA SIN REDUCCION DE FRACTURA DE CARPIANOS O METACARPIANOS
785500,FIJACION INTERNA SIN REDUCCION DE FRACTURA DE FEMUR SOD,REEMPLAZA A,785501,FIJACION INTERNA SIN REDUCCION DE FRACTURA DE FEMUR
785600,FIJACION INTERNA SIN REDUCCION DE FRACTURA DE ROTULA SOD,REEMPLAZA A,785601,FIJACION INTERNA SIN REDUCCION DE FRACTURA DE ROTULA
785800,FIJACION INTERNA SIN REDUCCION DE FRACTURA DE TARSIANOS O METATARSIANOS SOD,REEMPLAZA A,785801,FIJACION INTERNA SIN REDUCCION DE FRACTURA DE TARSIANOS O METATARSIANOS
785900,FIJACION INTERNA SIN REDUCCION DE FRACTURA DE FALANGES DE PIE O DE MANO SOD,REEMPLAZA A,785901,FIJACION INTERNA SIN REDUCCION DE FRACTURA DE FALANGES DE PIE O DE MANO
787100,OSTEOCLASTIA DE ESCAPULA - CLAVICULA O TORAX (COSTILLAS Y ESTERNON) SOD,REEMPLAZA A,787101,OSTEOCLASTIA DE ESCAPULA - CLAVICULA O TORAX (COSTILLAS Y ESTERNON)
787200,OSTEOCLASTIA DE HUMERO SOD,REEMPLAZA A,787201,OSTEOCLASTIA DE HUMERO
787300,OSTEOCLASTIA DE RADIO O CUBITO SOD,REEMPLAZA A,787301,OSTEOCLASTIA DE RADIO O CUBITO
787400,OSTEOCLASTIA DE CARPIANOS O METACARPIANOS SOD,REEMPLAZA A,787401,OSTEOCLASTIA DE CARPIANOS O METACARPIANOS
787500,OSTEOCLASTIA DE FEMUR SOD,REEMPLAZA A,787501,OSTEOCLASTIA DE FEMUR
787600,OSTEOCLASTIA DE ROTULA SOD,REEMPLAZA A,787601,OSTEOCLASTIA DE ROTULA
787700,OSTEOCLASTIA DE TIBIA O PERONE SOD,REEMPLAZA A,787701,OSTEOCLASTIA DE TIBIA O PERONE
787800,OSTEOCLASTIA DE TARSIANOS O METATARSIANOS SOD,REEMPLAZA A,787801,OSTEOCLASTIA DE TARSIANOS O METATARSIANOS
789500,INSERCION DE ESTIMULADOR DE CRECIMIENTO OSEO DE FEMUR SOD,REEMPLAZA A,789501,INSERCION DE ESTIMULADOR DE CRECIMIENTO OSEO DE FEMUR
790100,REDUCCION CERRADA DE FRACTURA SIN FIJACION INTERNA DE ESCAPULA - CLAVICULA O TORAX (COSTILLAS O ESTERNON) SOD,REEMPLAZA A,790101,REDUCCION CERRADA DE FRACTURA SIN FIJACION INTERNA DE ESCAPULA - CLAVICULA O TORAX (COSTILLAS O ESTERNON)
790200,REDUCCION CERRADA DE FRACTURA SIN FIJACION INTERNA DE HUMERO SOD,REEMPLAZA A,790201,REDUCCION CERRADA DE FRACTURA SIN FIJACION INTERNA DE HUMERO
790500,REDUCCION CERRADA DE FRACTURA DE FEMUR SIN FIJACION INTERNA SOD,REEMPLAZA A,790501,REDUCCION CERRADA DE FRACTURA DE FEMUR SIN FIJACION INTERNA
790600,REDUCCION CERRADA DE FRACTURA SIN FIJACION INTERNA DE ROTULA SOD,REEMPLAZA A,790601,REDUCCION CERRADA DE FRACTURA SIN FIJACION INTERNA DE ROTULA
792200,REDUCCION ABIERTA DE FRACTURA SIN FIJACION INTERNA DE HUMERO SOD,REEMPLAZA A,792201,REDUCCION ABIERTA DE FRACTURA SIN FIJACION INTERNA DE HUMERO
792500,REDUCCION ABIERTA DE FRACTURA DE FEMUR SIN FIJACION INTERNA SOD,REEMPLAZA A,792501,REDUCCION ABIERTA DE FRACTURA DE FEMUR SIN FIJACION INTERNA
792600,REDUCCION ABIERTA DE FRACTURA DE ROTULA SIN FIJACION INTERNA SOD,REEMPLAZA A,792601,REDUCCION ABIERTA DE FRACTURA DE ROTULA SIN FIJACION INTERNA
793600,REDUCCION ABIERTA DE FRACTURA EN ROTULA CON FIJACION INTERNA (DISPOSITIVOS DE FIJACION U OSTEOSINTESIS) SOD,REEMPLAZA A,793601,REDUCCION ABIERTA DE FRACTURA EN ROTULA CON FIJACION INTERNA (DISPOSITIVOS DE FIJACION U OSTEOSINTESIS)
796100,LAVADO Y DESBRIDAMIENTO DE FRACTURA ABIERTA DE HUMERO SOD,REEMPLAZA A,796101,LAVADO Y DESBRIDAMIENTO DE FRACTURA ABIERTA DE HUMERO
796400,LAVADO Y DESBRIDAMIENTO DE FRACTURAS EXPUESTAS DE FALANGES EN MANO SOD,REEMPLAZA A,796401,LAVADO Y DESBRIDAMIENTO DE FRACTURAS EXPUESTAS DE FALANGES EN MANO
796500,LAVADO Y DESBRIDAMIENTO DE FRACTURA ABIERTA DE FEMUR SOD,REEMPLAZA A,796501,LAVADO Y DESBRIDAMIENTO DE FRACTURA ABIERTA DE FEMUR
796600,LAVADO Y DESBRIDAMIENTO DE FRACTURA ABIERTA DE TIBIA O PERONE SOD,REEMPLAZA A,796601,LAVADO Y DESBRIDAMIENTO DE FRACTURA ABIERTA DE TIBIA O PERONE
796700,LAVADO Y DESBRIDAMIENTO DE FRACTURA ABIERTA DE TARSIANOS O METATARSIANOS SOD,REEMPLAZA A,796701,LAVADO Y DESBRIDAMIENTO DE FRACTURA ABIERTA DE TARSIANOS O METATARSIANOS
796800,LAVADO Y DESBRIDAMIENTO DE FRACTURA ABIERTA DE DEDOS DE PIE SOD,REEMPLAZA A,796801,LAVADO Y DESBRIDAMIENTO DE FRACTURA ABIERTA DE DEDOS DE PIE
797100,REDUCCION CERRADA DE LUXACION EN HOMBRO SOD,REEMPLAZA A,797101,REDUCCION CERRADA DE LUXACION EN HOMBRO
797200,REDUCCION CERRADA DE LUXACION EN CODO SOD,REEMPLAZA A,797201,REDUCCION CERRADA DE LUXACION EN CODO
797300,REDUCCION CERRADA DE LUXACION EN MUÑECA SOD,REEMPLAZA A,797301,REDUCCION CERRADA DE LUXACION EN MUÑECA
799100,REDUCCION DE FRACTURAS INTRAARTICULARES Y LUXOFRACTURAS EN HOMBRO SOD,REEMPLAZA A,799101,REDUCCION DE FRACTURAS INTRAARTICULARES Y LUXOFRACTURAS EN HOMBRO
801200,ARTROTOMIA DE CODO SOD,REEMPLAZA A,801201,ARTROTOMIA DE CODO
801300,ARTROTOMIA DE MUÑECA SOD,REEMPLAZA A,801301,ARTROTOMIA DE MUÑECA
801400,ARTROTOMIA EN MANO SOD,REEMPLAZA A,801401,ARTROTOMIA EN MANO
801500,ARTROTOMIA DE PELVIS SOD,REEMPLAZA A,801501,ARTROTOMIA DE PELVIS
801600,ARTROTOMIA DE RODILLA SOD,REEMPLAZA A,801601,ARTROTOMIA DE RODILLA
801700,ARTROTOMIA DE TOBILLO O CUELLO DE PIE SOD,REEMPLAZA A,801701,ARTROTOMIA DE TOBILLO O CUELLO DE PIE
801800,ARTROTOMIA EN PIE SOD,REEMPLAZA A,801801,ARTROTOMIA EN PIE
804200,DIVISION DE CAPSULA - LIGAMENTO O CARTILAGO ARTICULAR DE CODO SOD,REEMPLAZA A,804201,DIVISION DE CAPSULA - LIGAMENTO O CARTILAGO ARTICULAR DE CODO
804600,DIVISION DE CAPSULA - LIGAMENTO O CARTILAGO ARTICULAR DE RODILLA SOD,REEMPLAZA A,804601,DIVISION DE CAPSULA - LIGAMENTO O CARTILAGO ARTICULAR DE RODILLA
812100,ARTRODESIS DE CADERA SOD,REEMPLAZA A,812101,ARTRODESIS DE CADERA
812200,ARTRODESIS DE RODILLA SOD,REEMPLAZA A,812201,ARTRODESIS DE RODILLA
812700,ARTRODESIS METACARPO-FALANGICA SOD,REEMPLAZA A,812701,ARTRODESIS METACARPO-FALANGICA
818400,REEMPLAZO TOTAL PROTESICO DE CODO SOD,REEMPLAZA A,818401,REEMPLAZO TOTAL PROTESICO DE CODO
818500,REEMPLAZO PARCIAL PROTESICO DE CODO SOD,REEMPLAZA A,818501,REEMPLAZO PARCIAL PROTESICO DE CODO
820200,MIOTOMIA DE MANO SOD,REEMPLAZA A,820201,MIOTOMIA DE MANO
820300,BURSOTOMIA DE MANO SOD,REEMPLAZA A,820301,BURSOTOMIA DE MANO
820400,INCISION Y DRENAJE DE ESPACIO PALMAR O TENAR SOD,REEMPLAZA A,820401,INCISION Y DRENAJE DE ESPACIO PALMAR O TENAR
820900,OTRA INCISION DE TEJIDO FLEXIBLE DE MANO SOD,REEMPLAZA A,820901,OTRA INCISION DE TEJIDO FLEXIBLE DE MANO
821200,FASCIOTOMIA DE MANO SOD,REEMPLAZA A,821201,FASCIOTOMIA DE MANO
823100,BURSECTOMIA DE MANO SOD,REEMPLAZA A,823101,BURSECTOMIA DE MANO
823200,ESCISION DE TENDON DE MANO PARA INJERTO (DIFERENTE REGION OPERATORIA) SOD,REEMPLAZA A,823201,ESCISION DE TENDON DE MANO PARA INJERTO (DIFERENTE REGION OPERATORIA)
823400,ESCISION DE MUSCULO O FASCIA DE MANO PARA INJERTO SOD,REEMPLAZA A,823401,ESCISION DE MUSCULO O FASCIA DE MANO PARA INJERTO
823600,OTRA MIECTOMIA DE MANO SOD,REEMPLAZA A,823601,OTRA MIECTOMIA DE MANO
824100,SUTURA DE ENVOLTURA O VAINA DE TENDON DE MANO SOD,REEMPLAZA A,824101,SUTURA DE ENVOLTURA O VAINA DE TENDON DE MANO
825100,AVANZAMIENTO DE TENDON DE MANO SOD,REEMPLAZA A,825101,AVANZAMIENTO DE TENDON DE MANO
825200,RETROCESO DE TENDON DE MANO SOD,REEMPLAZA A,825201,RETROCESO DE TENDON DE MANO
825400,REFIJACION DE MUSCULO DE MANO SOD,REEMPLAZA A,825401,REFIJACION DE MUSCULO DE MANO
825600,OTRO TRASPLANTE O TRANSFERENCIA DE TENDON DE MANO SOD,REEMPLAZA A,825601,OTRO TRASPLANTE O TRANSFERENCIA DE TENDON DE MANO
825900,OTRO TRASPLANTE O TRANSFERENCIA DE MUSCULO DE MANO SOD,REEMPLAZA A,825901,OTRO TRASPLANTE O TRANSFERENCIA DE MUSCULO DE MANO
826100,PULGARIZACION O POLICITACION CON SUMINISTRO NEUROVASCULAR SOD,REEMPLAZA A,826101,PULGARIZACION O POLICITACION CON SUMINISTRO NEUROVASCULAR
827200,PROCEDIMIENTOS PLASTICOS EN MANO CON INJERTO DE MUSCULO O FASCIA SOD,REEMPLAZA A,827201,PROCEDIMIENTOS PLASTICOS EN MANO CON INJERTO DE MUSCULO O FASCIA
829200,ASPIRACION DE BURSA DE MANO SOD,REEMPLAZA A,829201,ASPIRACION DE BURSA DE MANO
829300,ASPIRACION DE OTRO TEJIDO BLANDO DE MANO SOD,REEMPLAZA A,829301,ASPIRACION DE OTRO TEJIDO BLANDO DE MANO
829400,INYECCION DE SUSTANCIA TERAPEUTICA DENTRO DE BURSA DE MANO SOD,REEMPLAZA A,829401,INYECCION DE SUSTANCIA TERAPEUTICA DENTRO DE BURSA DE MANO
829500,INYECCION DE SUSTANCIA TERAPEUTICA DENTRO DE TENDON DE MANO SOD,REEMPLAZA A,829501,INYECCION DE SUSTANCIA TERAPEUTICA DENTRO DE TENDON DE MANO
